category,name,long_name,color_hex,color_name,parent,grandparent
class,Astro,Astrocyte,#D2AF81,Springfield Brown,,
class,EN,Excitatory Neuron,#197EC0,Springfield Blue,,
class,Immune,Immune Cell,#C80813,Springfield Red,,
class,IN,Inhibitory Neuron,#1A9993,Springfield Green,,
class,Oligo,Oligodendrocyte,#D5E4A2,Springfield Mint,,
class,OPC,Oligodendrocyte Progenitor Cell,#FED439,Springfield Yellow,,
class,Vascular,Vascular Cell,#FD8CC1,Springfield Pink,,
subclass,Adaptive_Immune,Adaptive Immune Cell,#6F4E37,Coffee,Immune,
subclass,Astro,Astrocyte,#C19A6B,Camel Brown,Astro,
subclass,EN_L2-3_IT,Layer 2-3 Intratelencephalic Excitatory Neuron,#659EC7,Blue Koi,EN,
subclass,EN_L3-5_IT_1,Layer 3-5 Intratelencephalic Excitatory Neuron 1,#95B9C7,Baby Blue,EN,
subclass,EN_L3-5_IT_2,Layer 3-5 Intratelencephalic Excitatory Neuron 2,#6495ED,Cornflower Blue,EN,
subclass,EN_L3-5_IT_3,Layer 3-5 Intratelencephalic Excitatory Neuron 3,#79BAEC,Denim Blue,EN,
subclass,EN_L5_ET,Layer 5 Extratelencephalic Excitatory Neuron,#4863A0,Steel Blue,EN,
subclass,EN_L5-6_NP,Layer 5-6 Near-Projecting Excitatory Neuron,#0020C2,Cobalt Blue,EN,
subclass,EN_L6_CT,Layer 6 Corticothalamic Excitatory Neuron,#3BB9FF,Deep Sky Blue,EN,
subclass,EN_L6_IT_1,Layer 6 Intratelencephalic Excitatory Neuron 1,#B4CFEC,Pastel Blue,EN,
subclass,EN_L6_IT_2,Layer 6 Intratelencephalic Excitatory Neuron 2,#1589FF,Dodger Blue,EN,
subclass,EN_L6B,Layer 6B Excitatory Neuron,#488AC7,Silk Blue,EN,
subclass,Endo,Endothelial Cell,#FFA62F,Cantaloupe,Vascular,
subclass,IN_CGE_KCNG1,ADARB2 Inhibitory Neuron,#4E8975,Sea Green,IN,
subclass,IN_CGE_LAMP5_RELN,Neurogliaform cell (LAMP5 RELN Inhibitory Neuron),#3B9C9C,Dark Turquoise,IN,
subclass,IN_CGE_VIP,VIP Inhibitory Neuron,#89C35C,Green Peas,IN,
subclass,IN_LAMP5_LHX6,Ivy cell (LAMP5 LHX6 Inhibitory Neuron),#7BCCB5,Blue Green,IN,
subclass,IN_MGE_PVALB,Basket Cell (PVALB Inhibitory Neuron),#B2C248,Avocado Green,IN,
subclass,IN_MGE_PVALB_CHC,Chandelier Cell (PVALB CHC Inhibitory Neuron),#008080,Teal,IN,
subclass,IN_MGE_SST,Martinotti and Non-Martinotti cell (SST Inhibitory Neuron),#728C00,Venom Green,IN,
subclass,Micro_PVM,Microglia and Perivascular Macrophage,#F75D59,Bean Red,Immune,
subclass,Oligo,Oligodendrocyte,#ECE5B6,Tan Brown,Oligo,
subclass,OPC,Oligodendrocyte Progenitor Cell,#FFF380,Corn Yellow,OPC,
subclass,PC,Pericyte,#E0B0FF,Mauve,Vascular,
subclass,SMC,Smooth Muscle Cell,#4E387E,Purple Haze,Vascular,
subclass,VLMC,Vascular Leptomeningeal Cell,#B93B8F,Plum,Vascular,
